"Time","Room.mean"
2025-03-10 15:00:00,12.5 %H
2025-03-10 15:30:00,12.6 %H
2025-03-10 16:00:00,12.2 %H
2025-03-10 16:30:00,12.0 %H
2025-03-10 17:00:00,11.5 %H
2025-03-10 17:30:00,11.0 %H
2025-03-10 18:00:00,10.5 %H
2025-03-10 18:30:00,10.3 %H
2025-03-10 19:00:00,10.2 %H
2025-03-10 19:30:00,9.86 %H
2025-03-10 20:00:00,9.83 %H
2025-03-10 20:30:00,9.72 %H
2025-03-10 21:00:00,9.25 %H
2025-03-10 21:30:00,9.11 %H
2025-03-10 22:00:00,9.98 %H
2025-03-10 22:30:00,10.7 %H
2025-03-10 23:00:00,10.6 %H
2025-03-10 23:30:00,10.6 %H
2025-03-11 00:00:00,11.0 %H
2025-03-11 00:30:00,10.9 %H
2025-03-11 01:00:00,10.9 %H
2025-03-11 01:30:00,11.3 %H
2025-03-11 02:00:00,11.6 %H
2025-03-11 02:30:00,12.1 %H
2025-03-11 03:00:00,12.8 %H
2025-03-11 03:30:00,13.5 %H
2025-03-11 04:00:00,14.2 %H
2025-03-11 04:30:00,14.5 %H
2025-03-11 05:00:00,14.1 %H
2025-03-11 05:30:00,13.7 %H
2025-03-11 06:00:00,13.6 %H
2025-03-11 06:30:00,13.7 %H
2025-03-11 07:00:00,14.0 %H
2025-03-11 07:30:00,14.4 %H
2025-03-11 08:00:00,15.5 %H
2025-03-11 08:30:00,16.5 %H
2025-03-11 09:00:00,17.2 %H
2025-03-11 09:30:00,17.9 %H
2025-03-11 10:00:00,17.8 %H
2025-03-11 10:30:00,17.7 %H
2025-03-11 11:00:00,17.4 %H
2025-03-11 11:30:00,16.8 %H
2025-03-11 12:00:00,15.8 %H
2025-03-11 12:30:00,15.3 %H
2025-03-11 13:00:00,15.1 %H
2025-03-11 13:30:00,14.8 %H
2025-03-11 14:00:00,15.1 %H
2025-03-11 14:30:00,15.0 %H
2025-03-11 15:00:00,15.1 %H
2025-03-11 15:30:00,15.4 %H
2025-03-11 16:00:00,15.5 %H
2025-03-11 16:30:00,15.0 %H
2025-03-11 17:00:00,14.7 %H
2025-03-11 17:30:00,15.0 %H
2025-03-11 18:00:00,15.4 %H
2025-03-11 18:30:00,16.0 %H
2025-03-11 19:00:00,17.1 %H
2025-03-11 19:30:00,18.1 %H
2025-03-11 20:00:00,18.8 %H
2025-03-11 20:30:00,
2025-03-11 21:00:00,
2025-03-11 21:30:00,
2025-03-11 22:00:00,
2025-03-11 22:30:00,
2025-03-11 23:00:00,
2025-03-11 23:30:00,
2025-03-12 00:00:00,
2025-03-12 00:30:00,
2025-03-12 01:00:00,
2025-03-12 01:30:00,
2025-03-12 02:00:00,
2025-03-12 02:30:00,
2025-03-12 03:00:00,
2025-03-12 03:30:00,
2025-03-12 04:00:00,
2025-03-12 04:30:00,
2025-03-12 05:00:00,
2025-03-12 05:30:00,
2025-03-12 06:00:00,
2025-03-12 06:30:00,
2025-03-12 07:00:00,
2025-03-12 07:30:00,
2025-03-12 08:00:00,
2025-03-12 08:30:00,
2025-03-12 09:00:00,
2025-03-12 09:30:00,
2025-03-12 10:00:00,
2025-03-12 10:30:00,
2025-03-12 11:00:00,8.23 %H
2025-03-12 11:30:00,7.90 %H
2025-03-12 12:00:00,7.77 %H
2025-03-12 12:30:00,7.86 %H
2025-03-12 13:00:00,9.68 %H
2025-03-12 13:30:00,11.3 %H
2025-03-12 14:00:00,12.1 %H
